unique_id,account_number,name,bank,password,account_balance
100001,8358190375,buhari,XYZ Bank,buhari,1000.0
58130,4345990937,Sreeranjan,Unilag Bank,weaponed,10000.0
87370,2255040028,satyvani,Unilag Bank,weaponed,10000.0
42587,1609739822,royce,Unilag Bank,weaponede,10000.0
96775,1793660943,frank,Unilag Bank,weaponed,10000.0
58035,8291627435,doreen,Unilag Bank,weaponed,10000.0
10234,Adewole Tunde 1,Gtbank,12345,20000,
10234,Adewole Tunde 1,Gtbank,12345,20000,
73884,8108978817,sreeranjan,Unilag Bank,weaponed,10000.0
19163,8555583470,davidroyce,Unilag Bank,weaponed,10000.0
19129,1277726461,satyavani,Unilag Bank,12345678,10000.0
57320,6250764104,doreennithika,Unilag Bank,12345678,10000.0
77939,9445318152,godsgrace,Unilag Bank,weaponed,10000.0
88347,5373866442,doreennithika,Unilag Bank,weaponed,10000.0
46984,6389370130,d,Unilag Bank,bhai bhai bhai,10000.0
86094,9560439388,d,Unilag Bank,12345678,10000.0
35631,9229533450,dps,Unilag Bank,12345678,133034.0
